shipment_id,p_late,severity_p50,line_item_value,risk_tier,action,simulated_net_benefit,robustness,human_approval_required
1719,0.15664454024715974,0.0,1.252762968495368,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1722,0.35713335632629517,0.0,8.437067146936952,WATCH,MONITOR,-10.0,ROBUST,False
1723,0.2527920181851784,0.0,8.332308352219117,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1724,0.4827258682363511,0.0,7.52294091807237,WATCH,MONITOR,-10.0,ROBUST,False
1797,0.2319899581161106,0.0,7.937731775260109,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1798,0.4848743637967201,0.0,9.657075374282565,WATCH,MONITOR,-10.0,ROBUST,False
1820,0.4605943404402997,0.0,11.272266917734749,WATCH,MONITOR,-10.0,ROBUST,False
1861,0.20815329412426253,0.0,10.763440710059992,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1888,0.4214167107305711,0.0,13.252131741208542,WATCH,MONITOR,-10.0,ROBUST,False
1889,0.4982416807214024,0.0,13.494672435191953,WATCH,MONITOR,-10.0,ROBUST,False
1905,0.20106520086851296,0.0,10.519321629993403,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1919,0.27471086772932785,0.0,10.171394122323854,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1939,0.3080722946267039,0.0,3.4339872044851463,WATCH,MONITOR,-10.0,ROBUST,False
1940,0.21797245432154574,0.0,9.637884599172999,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1941,0.10610593585841191,0.0,4.189957726425047,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1942,0.18805169767901067,0.0,13.217550367802968,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1954,0.2127747537367034,0.0,10.482227866760741,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1955,0.27743988052727486,0.0,9.43675855582405,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1956,0.16844099136536075,0.0,11.357405514786711,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1957,0.4493017426766691,0.0,10.182973629388371,WATCH,MONITOR,-10.0,ROBUST,False
1971,0.38196445309253446,0.0,8.30671904320269,WATCH,MONITOR,-10.0,ROBUST,False
1972,0.13408019102386481,0.0,11.988333215612219,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1973,0.36003698045597254,0.0,11.58538565169949,WATCH,MONITOR,-10.0,ROBUST,False
2008,0.36146259056224816,0.0,11.988880101792738,WATCH,MONITOR,-10.0,ROBUST,False
2146,0.48248846945745105,0.0,11.287416618549733,WATCH,MONITOR,-10.0,ROBUST,False
2147,0.10120834854246451,0.0,11.298877919281251,LOW_RISK,NO_ACTION,0.0,ROBUST,False
2148,0.19917297992232288,0.0,9.449959453304116,LOW_RISK,NO_ACTION,0.0,ROBUST,False
